intent,hindi
ask_payment_link,क्या आप प्लीज  पेमेंट लिंक भेज सकते है ?
ask_payment_link,मुझे पेमेंट लिंक टेक्स्ट कर दीजिये 
ask_payment_link,पेमेंट लिंक कहा है 
ask_payment_link,पेमेंट लिंक भेज दीजिये 
ask_payment_link,क्या आप भुगतान लिंक भेज सकते हैं
ask_payment_link, आपके लिए पेमेंट लिंक फिरसे भेजना पॉसिबल है ?
ask_payment_link,पेमेंट लिंक क्या है 
ask_payment_link,मुझे पेमेंट लिंक चाहिए 
ask_payment_link,क्या आप पेमेंट लिंक  मैसेज कर सकते हैं 
ask_payment_link,पेमेंट लिंक व्हाट्सप्प  कर दो 
ask_payment_link,पेमेंट लिंक ईमेल कर दो 
ask_payment_link,जल्द से जल्द भुगतान लिंक साझा करें
ask_payment_link,क्या आपको पेमेंट लिंक भेजने  में कोई दिक्कत है
ask_payment_link,"मैं पेमेंट करना चाहता हूं, इसलिए मुझे भुगतान लिंक का जल्दी  भेजें"
ask_payment_link,कृपया पेमेंट लिंक भेजके मेरी सहायता करे 
ask_payment_link,कृपया पेमेंट लिंक भेज दीजिये 
ask_payment_link,मैं इस महीने के लिए किस्त का पेमेंट करना चाहता हूं। लिंक कहां है?
ask_payment_link,पेमेंट लिंक कहा मिलेगी?
ask_payment_link,"कृपया भुगतान लिंक भेजें, इसकी तत्काल आवश्यकता है"
ask_payment_link,पेमेंट लिंक दीजिये 
ask_payment_link,मैं बहुत समय से पेमेंट लिंक के लिए कह रहा हूं। अब कृपया इसे भेजें
ask_payment_link,मेरे व्हाट्सएप नंबर पर पेमेंट लिंक भेजें
ask_payment_link,मुझे  लिंक की सहायता चाहिए। क्या आप इसे भेज सकते हैं?
ask_payment_link,पेमेंट लिंक अभी भेज दो। मैं पैसे भर दूंगा 
ask_payment_link,मैसेज पे भेजदो पेमेंट लिंक 
ask_payment_link,मुझे पेमेंट लिंक नहीं मिल रहा है। कृपया इसे पुनः भेजें।
ask_payment_link,क्या मुझे पेमेंट लिंक मिल सकती है 
ask_payment_link,कृपया ईमेल के माध्यम से पेमेंट लिंक भेज दीजिये 
ask_payment_link,फिरसे लिंक भेजिए मैं अभी पेमेंट करता हूँ 
ask_payment_link,मुझे लिंक भेजिए मैं कुछ ही समय में पेमेंट करता हूँ 
ask_payment_link,मुझे लिंक भेज दीजिये जल्दी ही पेमेंट कर दूंगा 
ask_payment_link,मुझे पेमेंट लिंक मैसेज कर दीजिये मैं अभी भेजता हूँ 
ask_payment_link,मुझे पेमेंट लिंक ईमेल कर दीजिये 
ask_payment_link,मुझे लिंक दीजिये मैं अभी पेमेंट करता हूँ 
ask_payment_link,मैं अभी तुरंत पेमेंट करता हूँ आप मुझे बस पेमेंट लिंक भेजिए 
ask_payment_link,मुझे लिंक इनबॉक्स कीजिये मैं पेमेंट करता हूँ 
ask_payment_link,मुझे पेमेंट लिंक भेजने के साथ याद दिलाये मैं पेमेंट कर दूंगा 
ask_payment_link,मुझे लिंक भेजिए मैं  तुरंत करता हूँ 
ask_payment_link,क्या आप पेमेंट लिंक दूसरे नंबर पे शेयर कर सकते हैं 
ask_payment_link,मैं पेमेंट भेज दूंगा आप मुझे लिंक भेजिए 
ask_payment_link,कृपया मुझे लिंक भेजिए मैं अभी तुरंत पेमेंट करता दूंगा 
ask_payment_link,कृपया जल्दी ही मुझसे लिंक साझा कीजिये 
ask_payment_link,मुझे लिंक कहाँ मिल सकता है ?
ask_payment_link,कृपया क्या आप लिंक के साथ मेरी मदद करेंगे 
ask_payment_link,मुझे लिंक मेल कीजिये मैं अभी पेमेंट करता हूँ 
ask_payment_link,मुझे मालूम नहीं है की मेरे पास लिंक है या नहीं क्या आप दोबारा मुझे भेज सकते हैं 
ask_payment_link,अगर आपको आपत्ति न हो तो पेमेंट लिंक दोबारा भेज सकते हैं
ask_payment_link,मुझे पेमेंट लिंक पे गाइड कीजिये 
ask_payment_link,पेमेंट कैसे करना हैं क्या आप मेरी सहायता कर सकते हैं पेमेंट लिंक से 
ask_payment_link,मैं अभी तुरंत पेमेंट करता हूँ मुझे बस लिंक भेजिए 
ask_payment_link,कृपया मेरे अल्टरनेट नंबर पर लिंक भेजिए 
ask_payment_link,कैसे रहेगा अगर आप मुझे लिंक दोबारा भेजे तो ?
ask_payment_link,क्या आप पेमेंट लिंक के साथ मुझे मैसेज भेज सकते हैं ?
ask_payment_link,अगर आपको आपत्ति ना होतो लिंक मेरे दूसरे नंबर पर भेज सकते हैं क्या 
ask_payment_link,क्या आप मेरे व्हाट्सप्प पर लिंक भेज सकते हैं ?
ask_payment_link,बस मेरे नंबर पे लिंक दोबारा भेजिए 
pay_later,में  वीकेंड पे करता हु 
pay_later,मैं दिन के अंत तक भुगतान करूंगा
pay_later,मैं कुछ दिनों में भुगतान करूँगा
pay_later,मैं जल्द हे पेमेंट कर दूंगा 
pay_later,मैं कल तक पैसे भर दूंगा 
pay_later,मैं इ एम आई इस हफ्ते  मे भर दूंगा 
pay_later,मैं महीने के आखिर तक ई  एम आई भर दूंगा 
pay_later,"मैं फ्री होते हे पेमेंट कर दुगा , अभी बिजी हूँ "
pay_later,मैं कुछ समय में भुगतान कर दूंगा
pay_later,मई पंधरा दिन के आदर पैसे दे दूंगा 
pay_later,मैं अभी ऑफिस में हूँ। घर जाके पेमेंट करता हूँ 
pay_later,मेरा सैलरी  मिलते ही मैं ईएमआई का भुगतान करूंगा
pay_later,मैं फ्राइडे तक इन्सटॉलमेंट भर दूंगा 
pay_later,मैं बाद में भुगतान करूंगा
pay_later,मैं अगले महीने की  ईएमआई  के साथ इस महीने की  ईएमआई दे दूंगा 
pay_later,मैं अभी पैसे नहीं दे सकता। मुझे थोड़ा टाइम चाहिए 
pay_later,मैं अभी पैसे नहीं दे सकता। अगले हफ्ते तक देता हु
pay_later,मैं अभी वेकेशन पे हूँ।  आके पेमेंट करता हु 
pay_later,एक - दो घंटो में पैसे दे भर दूंगा 
pay_later,सॉरी मैं बादमे पे करूँगा 
pay_later,सॉरी आज पे नहीं कर सकता 
pay_later,"नहीं, मैं आज पे नहीं कर पाऊंगा। मैं बाद मे करूंगा"
pay_later,"नहीं, मैं आज पे नहीं  करूंगा। मैं बाद मे करूंगा"
pay_later,नहीं मैं अभी पे नहीं करुगा।  कल करूँगा 
pay_later,मैं बादमे पपेमेंट करूँगा
pay_later,सॉरी मैं थोड़े दिन के बाद हे पेमेंट कर पाउगा 
pay_later,हा  जरूर पे करूँगा बादमे 
pay_later,अभी पे नहीं करूँगा 
pay_later,मैं बादमे पेकरने वाला हूँ 
pay_later,मैं मंथ एन्ड तक पेकर दूंगा 
pay_later,मैं बाद में पेमेंट करूँगा
pay_later,मैं कुछ समय के बाद पेमेंट करता हूँ
pay_later,मुझे कुछ समय दीजिये मैं जल्दी ही कर दूंगा
pay_later,अभी मैं नहीं कर सकता और समय की जरुरत है
pay_later,मैं बाद में पेमेंट करूँगा अभी मैं आउट ऑफ़ स्टेशन हूँ
pay_later,बहुत शीघ्र ही मैं पेमेंट कर दूंगा
pay_later,शायद मुझे और समय चाहिए होगा पेमेंट करने के लिए
pay_later,अभी ये संभव नहीं है मैं कोशिश करूँगा शीघ्र ही करने का
pay_later,जितना जल्दी हो सके मैं पेमेंट करने की कोशिश करूँगा
pay_later,पेमेंट करने में थोड़ी देर होगी
pay_later,पेमेंट करने में देर होगी कुछ पर्सनल प्रॉब्लम  की वजह से
pay_later,मैं जल्दी या देर से पर पेमेंट जरूर करूँगा
pay_later,मैं अभी किसी काम के बीच में हूँ उसके बाद मैं करूँगा
pay_later,इस बार पेमेंट लेट होगा
pay_later,मैं थोड़ी देर बाद ईएमआई पेमेंट करूँगा
pay_later,अगले दिन पेमेंट हो जायेगा
pay_later,पेमेंट बाद में किया जायेगा
pay_later,मैं किसी और दिन पेमेंट कर दूंगा
pay_later,मैं अगली बार पेमेंट कर दूंगा
pay_later,आने वाले कुछ दिनों में मैं पेमेंट कर दूंगा
pay_later,जल्दी ही मैं पेमेंट पूरा कर दूंगा
pay_later,बाद में मैं पेमेंट कर दूंगा
pay_later,आने वाले हफ्ते में मैं पेमेंट कर दूंगा
pay_later,मुझे एक हफ्ते का समय चाहिए पेमेंट करने के लिए
pay_later,जितना जल्दी हो सकेगा मैं पेमेंट कर दूंगा
pay_later,थोड़ी देर में पेमेंट कर दिया जायेगा
pay_later,थोड़ा और समय लगेगा पेमेंट पूरा करने में
pay_later,पेमेंट सेटल करने के लिए मुझे कुछ दिन और चाहिए
pay_later,मैं किसी और दिन पेमेंट कर दूंगा
inform_payment_delay_reason,मैं ऑफिस के काम में बिजी हूँ
inform_payment_delay_reason,मैं अभी शहर से बाहर हूँ और यहाँ नेटवर्क इशू  है।
inform_payment_delay_reason,मैंने पेमेंट करने की कोशिश की लेकिन कुछ नेटवर्क समस्या थी।
inform_payment_delay_reason,फॅमिली इमरजेंसी हो गयी थी 
inform_payment_delay_reason,इस  महीने में थोड़े ज्यादा खर्चे हुए 
inform_payment_delay_reason,बिजनेस में बहुत नुक्सान हो रहे है 
inform_payment_delay_reason,आपने बताया नहीं पेमेंट कब दू  हैं 
inform_payment_delay_reason,मैंने हाल ही में अपना बैंक बदला है।अकाउंट चालू होने में टाइम लगेगा 
inform_payment_delay_reason,मेरे जॉब चले गए है'
inform_payment_delay_reason,मैं अभी ठीक नहीं हूँ
inform_payment_delay_reason,मेरे पास ई एम आए देनेके लिए पैसे नहीं है 
inform_payment_delay_reason,मेरा एक्सीडेंट होगया था 
inform_payment_delay_reason,मेरे पास नौकरी नहीं है और इसलिए  पैसे नहीं  है 
inform_payment_delay_reason,मैं भूल गया था। जल्द से जल्द भर दूंगा 
inform_payment_delay_reason,मुझे  लगा मैंने आखरी ई एम आए भर दी थी 
inform_payment_delay_reason,मेरे थोड़े फाइनेंसियल प्रॉब्लम चल रहे है 
inform_payment_delay_reason,वहाँ एक इमरजेंसी आगये थी  इसलिए मैं अभी पैसे पर कम हूँ
inform_payment_delay_reason,में बहुत कम नेटवॉक क्षेत्र में हूँ
inform_payment_delay_reason,मेरे पास अब नौकरी नहीं है
inform_payment_delay_reason,"मैं बीमार था और काम नहीं कर सकता था, इसलिए मुझे इस महीने पूरी सैलरी नहीं मिली "
inform_payment_delay_reason,मेरे परिवार में एक मेडिकल इमरजेंसी थी जिसके लिए मुझे बहुत पैसा खर्च करना पड़ा
inform_payment_delay_reason,मैंने इस बार एक और इन्वेस्टमेंट किया इसलिए कॅश की कमी  है 
inform_payment_delay_reason,बिज़नेस में ज्यादा प्रॉफिट नहीं हुआ है इस महीने में
inform_payment_delay_reason,इस बार पैसे जमा नहीं कर सके
inform_payment_delay_reason,मैंने अपना बैंक अकाउंट ब्लॉक करवाया है। नया अकाउंट शुरू होने में टाइम लगेगा 
inform_payment_delay_reason,मुझे इस बार पेमेंट के लिए रिमाइंडर ही नहीं आया 
inform_payment_delay_reason,मेरे पास अभी पैसे नहीं है 
inform_payment_delay_reason,मैं  बिज़नेस ट्रिप पे गया था 
inform_payment_delay_reason,थोड़े फाइनेंसियल प्रोब्लेम्स चल रहे है 
inform_payment_delay_reason,मुझे इस महीने की  सैलरी नहीं मिली है अब तक
inform_payment_delay_reason,सैलरी लेट होने  की वजह से मैं अभी पेमेंट नहीं कर सकता मैं बाद में पेमेंट करूँगा 
inform_payment_delay_reason,मैं अभी आउट ऑफ़ कंट्री हूँ मैं वापस आने के बाद पेमेंट करूँगा 
inform_payment_delay_reason,दरअसल मेरी नौकरी चली गयी है इसलिए पेमेंट में देरी होगी 
inform_payment_delay_reason,मैं बिज़नेस में समस्याओं का सामना कर रहा हूँ इस बार इऍमआई बाद में पेमेंट करूँगा 
inform_payment_delay_reason,मेरे यहाँ मेडिकल इमरजेंसी थी इसलिए इऍमआई का पेमेंट बाद में करूँगा 
inform_payment_delay_reason,कम सेल्स होने के कारण मैं बिज़नेस में नुकसान का सामना कर रहा हूँ इसलिए बाद में पेमेंट करूँगा 
inform_payment_delay_reason,दरअसल इस बार मैं पेमेंट नहीं कर पाऊंगा फाइनेंसियल दिक्कत की वजह से 
inform_payment_delay_reason,मेरे एकाउंटिंग प्रक्टिसेस में गड़बड़ी के कारण पेमेंट में देरी हो रही है 
inform_payment_delay_reason,नौकरी खोने के वजह से मैं बाद में पेमेंट करूँगा 
inform_payment_delay_reason,आर्थिक संकट के कारण मेरी रेवेन्यू बहुत कम हो रही है इसलिए मैं बाद में पेमेंट करूँगा 
inform_payment_delay_reason,मुझे हेल्थ की दिक्कत होने के कारण बाद में पेमेंट करूँगा 
inform_payment_delay_reason,मेरी आर्थिक स्तिथि अच्छी नहीं होने के कारन बाद में पेमेंट करूँगा 
inform_payment_delay_reason,फॅमिली में परेशानी की वजह से पेमेंट में देरी होगी 
inform_payment_delay_reason,मैं बाद में पेमेंट करूँगा क्यूंकि अभी मुझे सैलरी नहीं मिली है 
inform_payment_delay_reason,मैं बाद में पेमेंट करूँगा क्यूंकि मेरे खाते में कुछ गड़बड़ है 
inform_payment_delay_reason,मैं बाद में पेमेंट करूँगा क्यूंकि मैं अभी आउट ऑफ़ स्टेशन हूँ 
inform_payment_delay_reason,आर्थिक ब्रेकडाउन की वजह से मेरी नौकरी चली गयी है इसीलिए मैं बाद में पेमेंट करूँगा 
inform_payment_delay_reason,मेरा नेट बैंकिंग लॉक हो गया है नेट बैंकिंग काम करते ही मैं पेमेंट करूँगा 
inform_payment_delay_reason,गलत पिन की  वजह से मेरा कार्ड ब्लॉक हो गया  है इसलिए बाद में पेमेंट करूँगा 
inform_payment_delay_reason,गलत अकाउंट में पैसे भेजने की वजह से मैंने पैसे खो दिए हैं इसलिए बाद में पेमेंट करूँगा 
inform_payment_delay_reason,नौकरी खोने की वजह से मैं बाद में इऍमआई दूंगा 
inform_payment_delay_reason,मुझे लगा आलरेडी  पेमेंट हो चूका है 
inform_payment_delay_reason,ज़्यादा खर्च की वजह से मेरे पास कम कॅश ही हैं 
inform_payment_delay_reason,मैं अपनी  नौकरी  बदल रहा हूँ इसीलिए ज्वाइन करने के बाद पेमेंट करूँगा 
inform_payment_delay_reason,मेरी सेहत अच्छी नहीं थी और बहुतसारे मेडिकल खर्चे थे 
inform_payment_delay_reason,मेरा ऑटो डेबिट काम नहीं कर रहा है इसीलिए कुछ समय में पेमेंट करता हूँ 
inform_payment_delay_reason,मैंने सोचा की मेरे सैलरी अकाउंट से खुद ही डेबिट हो जायेगा 
inform_payment_delay_reason,मुझे बकाया पेमेंट के लिए कोई रिमाइंडर नहीं मिला 
inform_payment_delay_reason,किसी इमरजेंसी के लिए मैं बाहर हूँ वापस आके मैं पेमेंट करता हूँ 
inform_payment_delay_reason,मैं वित्तीय संकट का सामना कर रहा हूँ उसका समाधान करते ही मैं पेमेंट कर दूंगा 
inform_payment_delay_reason,लिंक डिलीट हो गया था और मैं आप तक पहुंच नहीं सका 
inform_dont_have_sms,कोई मैसेज  नहीं मिला
inform_dont_have_sms,मुझे कोई  मैसेज नहीं मिला है
inform_dont_have_sms,मुझे मैसेज मिल नहीं रहा. क्या आप फिरसे भेज सकते है
inform_dont_have_sms,मैसेज ही नहीं मिला 
inform_dont_have_sms,मेरे पास मैसेज नहीं है 
inform_dont_have_sms,मैसेज नहीं मिल रहा 
inform_dont_have_sms,मुझे कोई मेसाहे डिलीवर नहीं हुआ है 
inform_dont_have_sms,मुझे कोई मैसेज नहीं आया है 
inform_dont_have_sms,मेरे पास ऐसा कोई मैसेज नहीं है 
inform_dont_have_sms,आपने मुझे मैसेज नहीं भेजा ?
inform_dont_have_sms,"नहीं  , मुझे मैसेज नहीं आया है "
inform_dont_have_sms,मुझे मैसेज  नहीं दिया गया था
inform_dont_have_sms,मैसेज फिरसे भेज दो 
inform_dont_have_sms,मैसेज फिरसे भेज दो. पहला वाला मिल नहीं रहा 
inform_dont_have_sms,मेरे पास मैसेज नहीं है 
inform_dont_have_sms,"नहीं , मैसेज नहीं है "
inform_dont_have_sms,मुझे आपका मैसेज नहीं मिला 
inform_dont_have_sms,अब तक आप से  एक भी मैसेज नहीं आया है  
inform_dont_have_sms,मैंने गलतीसे मैसेज डिलीट कर दिया. क्या आप फिरसे भेज सकते है ?
inform_dont_have_sms,मुझे मैसेज नहीं मिला 
inform_dont_have_sms,मुझे आपका नहीं आया 
inform_dont_have_sms,मुझे आपका मैसेज नहीं मिला रहा 
inform_dont_have_sms,मुझे मैसेज ही  मिल नहीं रहा.
inform_dont_have_sms,मुझे मैसेज चाहिए.मेरे पास नहीं है 
inform_dont_have_sms,मैंने मैसेज ढूंढा पर मुझे नहीं मिला. आप फिरसे भेज दीजिये 
inform_dont_have_sms,मैसेज नहीं है 
inform_dont_have_sms,मुझे कोई मैसेज नहीं प्राप्त हुआ है पेमेंट के लिए
inform_dont_have_sms,मुझे कोई मैसेज नहीं मिली पेमेंट की जानकारी के लिए
inform_dont_have_sms,मुझे पेमेंट अपडेट को लेकर कोई मैसेज नहीं मिला
inform_dont_have_sms,पेमेंट को लेकर मुझे कोई एसमएस नहीं मिल रहा है
inform_dont_have_sms,मुझे कोई मैसेज नहीं मिला है उसपे
inform_dont_have_sms,पेमेंट को लेकर मुझे कोई मैसेज नहीं डिलीवर हुआ था
inform_dont_have_sms,पेमेंट को लेकर मुझे कोई मैसेज नहीं मिल रहा है
inform_dont_have_sms,मेरे इनबॉक्स में ऐसे कोई मैसेज नहीं हैं
inform_dont_have_sms,गलती से मैसेज डिलीट हो गया फिरसे भेजें
inform_dont_have_sms,मैं अपडेट का इंतज़ार कर रहा था मुझे उसपे कोई नोटिफिकेशन नहीं मिला है
inform_dont_have_sms,मुझे अभी तक कोई मैसेज नहीं मिले हैं
inform_dont_have_sms,क्या आपने मुझे अवगत कराया था मैसेज के बारे में ?
inform_dont_have_sms,मैंने इनबॉक्स चेक किया कोई मैसेज नहीं मिले मुझे
inform_dont_have_sms,क्या आप सुनिश्चित हैं कि आपने मुझे संदेश भेजा था
inform_dont_have_sms,पता नहीं क्यों पेमेंट मैसेज मेरे इनबॉक्स में नहीं दिख रहा है
inform_dont_have_sms,मैसेज ढूंढ रहा हूँ पर मिल नहीं रहा है
inform_dont_have_sms,आपकी तरफ से मेरे पास कोई मैसेज नहीं है
inform_dont_have_sms,मुझे एसएमएस नहीं मिल रहा हैं फिर से भेजें
inform_dont_have_sms,कोई एसएमएस नहीं प्राप्त हुआ था फिर से भेजें
inform_dont_have_sms,एसएमएस के बारे में मुझे  कोई जानकारी नहीं है
inform_dont_have_sms,मुझे मैसेज प्राप्त होने की कोई जानकारी नहीं है
inform_dont_have_sms,मुझे एसएमएस नहीं मिला मैं दोबारा चेक करता हूँ
inform_dont_have_sms,मुझे पेमेंट को लेकर कोई मैसेज नहीं दिया गया था
inform_dont_have_sms,मुझे पक्का मालूम है आपके द्वारा मुझे कोई मैसेज नहीं दिया गया है
inform_dont_have_sms,कृपया फिरसे भेजिए मुझे मैसेज नहीं मिल रहा है
inform_dont_have_sms,आपके द्वारा मुझे कोई पेमेंट मैसेज नहीं मिला है
inform_dont_have_sms,मैंने पेमेंट एसअमएस के बारे में ध्यान नहीं दिया
inform_dont_have_sms,कोई मैसेज शेयर नहीं किया गया है
inform_dont_have_sms,आपके द्वारा कोई मैसेज नहीं मिला है
inform_dont_have_sms,मैंने पेमेंट को लेकर कोई एसएमएस नहीं देखा
inform_dont_have_sms,मुझे पेमेंट पर कोई संदेश नहीं आया
inform_dont_have_payment_link,मुझे अभी तक भुगतान लिंक नहीं मिला है
inform_dont_have_payment_link,मेरे पास पेमेंट लिंक नहीं है 
inform_dont_have_payment_link,पेमेंट लिंक वाला मैसेज नहीं आया 
inform_dont_have_payment_link,कृपया पेमेंट लिंक भेज दो 
inform_dont_have_payment_link,क्या आप पेमेंट लिंक भजक मेरे मदद कर सकते है 
inform_dont_have_payment_link,पेमेंट लिंक मिली ही नहीं है 
inform_dont_have_payment_link,मुझे पेमेंट लिंक नहीं मिला है
inform_dont_have_payment_link,नहीं मेरे पास पेमेंट लिंक नहीं है 
inform_dont_have_payment_link,मुझे पेमेंट लिंक नहीं मिल रही है फिरसे भेज दो 
inform_dont_have_payment_link,यह लिंक एक्सपिरे होगयी है। दूसरी भेजो 
inform_dont_have_payment_link,मुझे कोई पेमेंट लिंक नहीं भेजी गयी है 
inform_dont_have_payment_link,नहीं मेरे पास पेमेंट लिंक नहीं है 
inform_dont_have_payment_link,पेमेंट लिंक नहीं मिल रही 
inform_dont_have_payment_link,नयी लिंक भेज दीजिये।  पुराणी लिंक काम नहीं कर रही 
inform_dont_have_payment_link,मुझे लिंक नहीं दी गयी है 
inform_dont_have_payment_link,मुझे कोई पेमेंट लिंक नहीं मिल रही
inform_dont_have_payment_link,लिंक नहीं मिल रही 
inform_dont_have_payment_link,लिंक कही  नहीं मिल रही 
inform_dont_have_payment_link,पेमेंट लिंक प्राप्त नहीं हुआ
inform_dont_have_payment_link,पेमेंट के लिए लिंक नहीं मिली है 
inform_dont_have_payment_link,मैं आपको यह बताना छठा हु के मुझे पेमेंट लिंक नहीं मिली है 
inform_dont_have_payment_link,पेमेंट लिंक नहीं है 
inform_dont_have_payment_link,कोई लिंक नहीं है मेरे पास 
inform_dont_have_payment_link,मैंने लिंक ढूंढा नहीं मिला 
inform_dont_have_payment_link,लिंक नहीं है
inform_dont_have_payment_link,लिंक नहीं है मेरे पास
inform_dont_have_payment_link,कोई पेमेंट लिंक नहीं
inform_dont_have_payment_link,पेमेंट लिंक अनुपस्थित है
inform_dont_have_payment_link,पेमेंट करनेके लिए लिंक नहीं है 
inform_dont_have_payment_link,नहीं मिली लिंक 
inform_dont_have_payment_link,पेमेंट लिंक नहीं मिल रहा है
inform_dont_have_payment_link,मेरे पास पेमेंट लिंक नहीं है
inform_dont_have_payment_link,पेमेंट लिंक फिर से भेजिए
inform_dont_have_payment_link,पेमेंट लिंक फिर से साझा कीजिये
inform_dont_have_payment_link,मुझे पेमेंट लिंक नहीं मिला
inform_dont_have_payment_link,पेमेंट लिंक वाला मैसेज डिलीट हो गया
inform_dont_have_payment_link,क्या आप फिर से पेमेंट लिंक भेज सकते हैं
inform_dont_have_payment_link,फिर से लिंक साझा कीजिये
inform_dont_have_payment_link,शेयर किया हुआ पेमेंट लिंक गुम हो गया
inform_dont_have_payment_link,मुझे कोई पेमेंट लिंक नहीं मिला
inform_dont_have_payment_link,मुझे फिर से लिंक दीजिये
inform_dont_have_payment_link,क्या आप मुझे पेमेंट लिंक पिंग कर सकते हैं
inform_dont_have_payment_link,मेरे पास नई पेमेंट लिंक नहीं है फिर से मुझे लिंक शेयर कीजिये
inform_dont_have_payment_link,पुरानी लिंक काम नहीं कर रही है मुझे नई लिंक चाहिए
inform_dont_have_payment_link,मुझे लिंक बिलकुल भी नहीं मिल रही है
inform_dont_have_payment_link,मुझे लिंक वाली ईमेल नहीं मिली
inform_dont_have_payment_link,मेरे नंबर पे लिंक उपलब्ध कराएं
inform_dont_have_payment_link,मुझे फिर से लिंक दिखाएँ
inform_dont_have_payment_link,मुझे नया लिंक भेजें
inform_dont_have_payment_link,मैं आपको दूसरा नंबर भेजता हूँ उसी नंबर पे लिंक भेजिए
inform_dont_have_payment_link,मैं आपको सूचित करना चाहता हूँ की मुझे लिंक नहीं मिला है
inform_dont_have_payment_link,मुझे लिंक भेज कर सूचित करें
inform_dont_have_payment_link,क्या आप मुझे नया लिंक अपडेट कर सकते हैं
inform_dont_have_payment_link,नया लिंक भेजने के बाद मुझे सूचित करें
inform_dont_have_payment_link,पिछला ईमेल आई डी ब्लॉक हो गई हैं इसीलिए नए ईमेल आई डी पे लिंक भेजिए जो मैं आपको दे रहा हूँ
inform_dont_have_payment_link,नेटवर्क इशू के कारन मुझे लिंक बिलकुल ही नहीं मिला
inform_dont_have_payment_link,कृपया लिंक मुझे फिर से मेरे मेल पे भेजें
inform_dont_have_payment_link,दूसरे नंबर पर लिंक शेयर कीजिये
inform_dont_have_payment_link,मुझे नए लिंक के साथ अभी अपडेट कर सकते हैं
inform_payment_done,पेमेंट सफलतापूर्वक किया गया
